                                                                                                                                                                           
{'loss': 2.9439, 'grad_norm': 38.436431884765625, 'learning_rate': 8.738664468260511e-07, 'epoch': 0.0}
{'loss': 3.2258, 'grad_norm': 25.02129554748535, 'learning_rate': 8.903544929925805e-07, 'epoch': 0.0}
{'loss': 4.6686, 'grad_norm': 98.28209686279297, 'learning_rate': 9.068425391591097e-07, 'epoch': 0.0}
{'loss': 3.3307, 'grad_norm': 101.40106201171875, 'learning_rate': 9.23330585325639e-07, 'epoch': 0.0}
{'loss': 2.8265, 'grad_norm': 39.747615814208984, 'learning_rate': 9.398186314921683e-07, 'epoch': 0.0}
{'loss': 2.8087, 'grad_norm': 56.825870513916016, 'learning_rate': 9.563066776586975e-07, 'epoch': 0.0}
{'loss': 3.0141, 'grad_norm': 9.36873722076416, 'learning_rate': 9.727947238252268e-07, 'epoch': 0.0}
{'loss': 2.7794, 'grad_norm': 26.150501251220703, 'learning_rate': 9.89282769991756e-07, 'epoch': 0.0}
{'loss': 3.0903, 'grad_norm': 16.352760314941406, 'learning_rate': 1.0057708161582852e-06, 'epoch': 0.0}
{'loss': 3.426, 'grad_norm': 12.438261985778809, 'learning_rate': 1.0222588623248147e-06, 'epoch': 0.0}
{'loss': 2.6485, 'grad_norm': 13.917736053466797, 'learning_rate': 1.038746908491344e-06, 'epoch': 0.0}
{'loss': 3.0819, 'grad_norm': 10.092435836791992, 'learning_rate': 1.0552349546578732e-06, 'epoch': 0.0}
{'loss': 4.1502, 'grad_norm': 9.359753608703613, 'learning_rate': 1.0717230008244024e-06, 'epoch': 0.0}
{'loss': 2.5895, 'grad_norm': 23.229578018188477, 'learning_rate': 1.0882110469909316e-06, 'epoch': 0.0}
{'loss': 2.6307, 'grad_norm': 52.14154815673828, 'learning_rate': 1.1046990931574609e-06, 'epoch': 0.0}
{'loss': 3.4737, 'grad_norm': 15.142601013183594, 'learning_rate': 1.1211871393239903e-06, 'epoch': 0.0}
{'loss': 3.0372, 'grad_norm': 10.129166603088379, 'learning_rate': 1.1376751854905195e-06, 'epoch': 0.0}
{'loss': 3.0714, 'grad_norm': 9.133583068847656, 'learning_rate': 1.1541632316570488e-06, 'epoch': 0.0}
{'loss': 2.6244, 'grad_norm': 10.29172134399414, 'learning_rate': 1.170651277823578e-06, 'epoch': 0.0}
{'loss': 2.6172, 'grad_norm': 10.982067108154297, 'learning_rate': 1.1871393239901072e-06, 'epoch': 0.0}
{'loss': 3.2295, 'grad_norm': 12.944182395935059, 'learning_rate': 1.2036273701566365e-06, 'epoch': 0.0}
{'loss': 2.8756, 'grad_norm': 9.84858512878418, 'learning_rate': 1.220115416323166e-06, 'epoch': 0.0}
{'loss': 3.3262, 'grad_norm': 14.385843276977539, 'learning_rate': 1.2366034624896952e-06, 'epoch': 0.0}
{'loss': 2.5819, 'grad_norm': 12.007406234741211, 'learning_rate': 1.2530915086562242e-06, 'epoch': 0.0}
{'loss': 3.0882, 'grad_norm': 13.258170127868652, 'learning_rate': 1.2695795548227534e-06, 'epoch': 0.0}
{'loss': 2.979, 'grad_norm': 11.206664085388184, 'learning_rate': 1.2860676009892829e-06, 'epoch': 0.0}
{'loss': 2.9827, 'grad_norm': 11.572407722473145, 'learning_rate': 1.302555647155812e-06, 'epoch': 0.0}
{'loss': 2.6517, 'grad_norm': 22.761211395263672, 'learning_rate': 1.3190436933223413e-06, 'epoch': 0.0}
{'loss': 2.6875, 'grad_norm': 10.697556495666504, 'learning_rate': 1.3355317394888706e-06, 'epoch': 0.0}
{'loss': 3.056, 'grad_norm': 13.084395408630371, 'learning_rate': 1.3520197856553998e-06, 'epoch': 0.0}
{'loss': 3.0507, 'grad_norm': 15.345911026000977, 'learning_rate': 1.368507831821929e-06, 'epoch': 0.0}
{'loss': 2.5167, 'grad_norm': 10.694765090942383, 'learning_rate': 1.3849958779884585e-06, 'epoch': 0.0}
{'loss': 2.4495, 'grad_norm': 8.708353996276855, 'learning_rate': 1.4014839241549877e-06, 'epoch': 0.0}
{'loss': 2.6006, 'grad_norm': 8.45038890838623, 'learning_rate': 1.417971970321517e-06, 'epoch': 0.0}
{'loss': 2.6026, 'grad_norm': 12.501298904418945, 'learning_rate': 1.4344600164880462e-06, 'epoch': 0.0}
{'loss': 2.4836, 'grad_norm': 9.891403198242188, 'learning_rate': 1.4509480626545754e-06, 'epoch': 0.0}
{'loss': 3.4415, 'grad_norm': 9.891167640686035, 'learning_rate': 1.4674361088211047e-06, 'epoch': 0.0}
